Domicile,FA/FSC,English Marks,Offered
Bahawalpur,579,70,Not Offered
Bahawalpur,638,94,Not Offered
Bahawalpur,855,127,Not Offered
Bahawalpur,597,114,Not Offered
Bahawalpur,597,129,Not Offered
Bahawalpur,869,67,Not Offered
Bahawalpur,771,153,Not Offered
Bahawalpur,781,132,Not Offered
Bahawalpur,710,120,Not Offered
Bahawalpur,626,113,Not Offered
Bahawalpur,915,171,Offered_IN_BWP_QUOTA
Bahawalpur,703,150,Not Offered
Bahawalpur,688,127,Not Offered
Bahawalpur,858,146,Not Offered
Bahawalpur,914,135,Offered_IN_BWP_QUOTA
Bahawalpur,575,118,Not Offered
Bahawalpur,843,174,Not Offered
Bahawalpur,622,95,Not Offered
Bahawalpur,716,143,Not Offered
Bahawalpur,633,104,Not Offered
Bahawalpur,827,161,Not Offered
Bahawalpur,980,180,Offered_IN_OPEN_QUOTA
Bahawalpur,749,145,Not Offered
Bahawalpur,620,144,Not Offered
Bahawalpur,949,165,Offered_IN_OPEN_QUOTA
Bahawalpur,505,101,Not Offered
Bahawalpur,580,121,Not Offered
Bahawalpur,607,128,Not Offered
Bahawalpur,706,123,Not Offered
Bahawalpur,841,167,Not Offered
Bahawalpur,668,122,Not Offered
Bahawalpur,851,80,Not Offered
Bahawalpur,924,172,Offered_IN_BWP_QUOTA
Bahawalpur,796,148,Not Offered
Bahawalpur,768,99,Not Offered
Bahawalpur,682,111,Not Offered
Bahawalpur,551,97,Not Offered
Bahawalpur,851,162,Not Offered
Bahawalpur,758,149,Not Offered
Bahawalpur,677,125,Not Offered
Bahawalpur,713,100,Not Offered
Bahawalpur,578,111,Not Offered
Bahawalpur,782,139,Not Offered
OPEN,689,123,Not Offered
Bahawalpur,615,140,Not Offered
Bahawalpur,783,154,Not Offered
Bahawalpur,783,126,Not Offered
Bahawalpur,881,166,Offered_IN_BWP_QUOTA
Bahawalpur,824,58,Not Offered
Bahawalpur,765,150,Not Offered
Bahawalpur,826,129,Not Offered
Bahawalpur,718,119,Not Offered
Bahawalpur,671,117,Not Offered
Bahawalpur,546,99,Not Offered
Bahawalpur,828,136,Not Offered
Bahawalpur,769,69,Not Offered
Bahawalpur,647,161,Not Offered
Bahawalpur,888,132,Not Offered
Bahawalpur,810,167,Not Offered
Bahawalpur,719,122,Not Offered
Bahawalpur,538,101,Not Offered
Bahawalpur,616,123,Not Offered
Bahawalpur,695,138,Not Offered
Bahawalpur,584,113,Not Offered
Bahawalpur,806,131,Not Offered
Bahawalpur,508,108,Not Offered
Bahawalpur,938,165,Offered_IN_BWP_QUOTA
Bahawalpur,898,160,Offered_IN_BWP_QUOTA
Bahawalpur,707,140,Not Offered
OPEN,642,147,Not Offered
Bahawalpur,845,154,Not Offered
Bahawalpur,656,120,Not Offered
Bahawalpur,510,95,Not Offered
Bahawalpur,717,150,Not Offered
Bahawalpur,678,147,Not Offered
Bahawalpur,802,158,Not Offered
Bahawalpur,934,178,Offered_IN_OPEN_QUOTA
Bahawalpur,906,176,Offered_IN_BWP_QUOTA
Bahawalpur,603,153,Not Offered
Bahawalpur,576,87,Not Offered
Bahawalpur,730,125,Not Offered
Bahawalpur,886,180,Offered_IN_BWP_QUOTA
Bahawalpur,796,163,Not Offered
Bahawalpur,485,123,Not Offered
Bahawalpur,651,164,Not Offered
Bahawalpur,761,144,Not Offered
Bahawalpur,571,134,Not Offered
Bahawalpur,632,107,Not Offered
Bahawalpur,868,170,Not Offered
Bahawalpur,951,178,Offered_IN_OPEN_QUOTA
Bahawalpur,623,75,Not Offered
Bahawalpur,737,181,Not Offered
Bahawalpur,687,150,Not Offered
Bahawalpur,947,174,Offered_IN_OPEN_QUOTA
Bahawalpur,805,153,Not Offered
Bahawalpur,762,115,Not Offered
Bahawalpur,882,177,Offered_IN_BWP_QUOTA
Bahawalpur,677,111,Not Offered
Bahawalpur,744,102,Not Offered
Bahawalpur,965,90,Offered_IN_BWP_QUOTA
Bahawalpur,694,140,Not Offered
Bahawalpur,669,121,Not Offered
Bahawalpur,576,121,Not Offered
Bahawalpur,745,148,Not Offered
Bahawalpur,561,107,Not Offered
Bahawalpur,667,127,Not Offered
Bahawalpur,705,131,Not Offered
Bahawalpur,756,121,Not Offered
Bahawalpur,622,124,Not Offered
Bahawalpur,659,113,Not Offered
Bahawalpur,580,116,Not Offered
Bahawalpur,741,143,Not Offered
Bahawalpur,737,149,Not Offered
Bahawalpur,542,82,Not Offered
Bahawalpur,820,170,Not Offered
