Sr,Domicile,Selection Quota,Hafiz e Quran,NTS,ECAT/MCAT,FA/FSC,BA/BSC,English Marks,Offered
428,OPEN,,No,56,0,785,0,0,Offered_IN_OPEN_QUOTA
429,OPEN,,No,54,0,667,0,0,Not Offered
430,OPEN,,No,69,0,770,0,0,Offered_IN_OPEN_QUOTA
431,OPEN,,No,49,0,643,0,0,Not Offered
432,Bahawalpur,,No,53,0,696,0,0,Not Offered
433,OPEN,,No,54,0,607,0,0,Not Offered
434,OPEN,,No,57,0,809,0,0,Offered_IN_OPEN_QUOTA
435,OPEN,,No,73,0,914,0,0,Offered_IN_OPEN_QUOTA
436,OPEN,,No,48,0,884,0,0,Offered_IN_OPEN_QUOTA
437,OPEN,,No,46,0,835,0,0,Offered_IN_OPEN_QUOTA
438,OPEN,,No,0,0,819,0,0,Not Offered
439,OPEN,,No,43,0,704,0,0,Not Offered
440,OPEN,,No,50,0,839,0,0,Offered_IN_OPEN_QUOTA
441,OPEN,,No,39,0,826,0,0,Not Offered
442,OPEN,,No,41,0,708,0,0,Not Offered
443,OPEN,,No,0,0,812,0,0,Not Offered
444,Bahawalpur,,No,42,0,608,0,0,Not Offered
445,OPEN,,No,41,0,657,0,0,Not Offered
446,OPEN,,No,47,0,570,0,0,Not Offered
447,OPEN,,No,51,0,872,0,0,Offered_IN_OPEN_QUOTA
