Domicile,Hafiz e Quran,NTS,FA/FSC,Offered
OPEN,No,0,689,Not Offered
BWP,No,59,1100,Offered
BWP,No,49,841,Not Offered
BWP,No,55,850,Offered
BWP,No,54,893,Offered
BWP,No,46,773,Not Offered
BWP,No,56,829,Not Offered
BWP,No,54,813,Not Offered
BWP,No,51,802,Not Offered
BWP,No,49,606,Not Offered
BWP,No,60,815,Offered
BWP,No,63,814,Offered
BWP,No,60,804,Not Offered
BWP,No,48,820,Not Offered
BWP,No,51,882,Offered
BWP,No,61,624,Not Offered
BWP,Yes,55,802,Offered
BWP,No,52,836,Not Offered
BWP,No,54,843,Offered
BWP,No,47,841,Not Offered
BWP,No,53,850,Offered
BWP,No,59,795,Not Offered
BWP,No,67,954,Offered
BWP,No,56,825,Offered
BWP,No,50,805,Not Offered
BWP,No,50,834,Offered
BWP,No,54,913,Offered
BWP,Yes,58,865,Offered
BWP,No,62,791,Not Offered
BWP,No,64,802,Offered
BWP,No,48,671,Not Offered
BWP,No,46,849,Offered
BWP,Yes,47,902,Offered
BWP,No,58,822,Offered
BWP,No,53,853,Offered
BWP,No,68,924,Offered
BWP,No,40,692,Not Offered
BWP,No,60,808,Offered
BWP,No,56,817,Not Offered
BWP,No,53,800,Not Offered
BWP,Yes,46,721,Not Offered
BWP,No,42,598,Not Offered
BWP,No,40,604,Not Offered
BWP,No,52,812,Not Offered
BWP,No,71,744,Not Offered
BWP,No,31,511,Not Offered
BWP,No,62,838,Offered
BWP,No,58,662,Not Offered
BWP,No,63,682,Not Offered
BWP,No,66,913,Offered
BWP,No,53,822,Not Offered
BWP,No,48,807,Not Offered
BWP,Yes,62,707,Not Offered
BWP,No,56,830,Offered
BWP,No,53,791,Not Offered
BWP,No,67,938,Offered
BWP,No,45,698,Not Offered
BWP,No,61,784,Not Offered
BWP,No,52,811,Not Offered
BWP,No,63,776,Not Offered
BWP,No,50,764,Not Offered
BWP,No,56,643,Not Offered
BWP,No,50,492,Not Offered
BWP,No,47,850,Offered
BWP,No,57,824,Offered
BWP,No,52,589,Not Offered
BWP,No,47,857,Offered
BWP,No,63,781,Not Offered
BWP,No,82,972,Offered
BWP,Yes,52,803,Not Offered
BWP,No,42,724,Not Offered
BWP,No,53,810,Not Offered
BWP,No,40,523,Not Offered
BWP,No,55,811,Not Offered
BWP,No,51,845,Offered
BWP,No,55,864,Offered
BWP,No,57,645,Not Offered
BWP,No,61,920,Offered
BWP,No,61,907,Offered
BWP,No,85,868,Offered
BWP,No,63,703,Not Offered
BWP,No,51,773,Not Offered
BWP,No,54,846,Offered
BWP,No,62,874,Offered
BWP,No,50,867,Offered
BWP,No,59,854,Offered
BWP,No,54,813,Not Offered
BWP,No,65,814,Offered
BWP,No,50,855,Not Offered
BWP,No,53,859,Offered
BWP,No,52,897,Offered
BWP,No,40,583,Not Offered
BWP,No,58,782,Not Offered
BWP,No,59,873,Offered
BWP,No,40,859,Not Offered
BWP,No,41,840,Not Offered
OPEN,No,40,715,Not Offered
OPEN,No,53,815,Not Offered
OPEN,No,52,856,Offered
OPEN,No,62,841,Offered
OPEN,No,53,849,Offered
OPEN,No,59,905,Offered
BWP,No,44,852,Offered
OPEN,No,60,765,Not Offered
BWP,No,51,825,Not Offered
OPEN,No,62,913,Offered
OPEN,No,59,791,Not Offered
OPEN,No,40,772,Not Offered
OPEN,No,57,920,Offered
OPEN,No,55,951,Offered
OPEN,No,66,888,Offered
OPEN,No,61,838,Offered
OPEN,No,61,860,Offered
OPEN,No,67,925,Offered
BWP,No,65,773,Not Offered
OPEN,No,57,857,Offered
OPEN,No,69,865,Offered
BWP,No,49,1018,Offered
BWP,No,62,835,Offered
OPEN,No,57,853,Not Offered
OPEN,No,57,772,Not Offered
OPEN,No,68,809,Offered
