Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,Offered
OPEN,,No,59,0,905,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,44,0,852,0,Offered_IN_BWP_QUOTA
OPEN,,No,60,0,765,0,"Not Offered"
Bahawalpur,,No,51,0,825,0,"Not Offered"
OPEN,,No,62,0,913,0,Offered_IN_OPEN_QUOTA
OPEN,,No,59,0,791,0,"Not Offered"
OPEN,,No,40,0,772,0,"Not Offered"
OPEN,,No,57,0,920,0,Offered_IN_OPEN_QUOTA
OPEN,,No,55,0,951,0,Offered_IN_OPEN_QUOTA
OPEN,,No,66,0,888,0,Offered_IN_OPEN_QUOTA
OPEN,,No,61,0,838,0,Offered_IN_OPEN_QUOTA
OPEN,,No,61,0,860,0,Offered_IN_OPEN_QUOTA
OPEN,,No,67,0,925,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,65,0,773,0,"Not Offered"
OPEN,,No,57,0,857,0,Offered_IN_OPEN_QUOTA
OPEN,,No,69,0,865,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,49,7,1018,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,62,0,835,0,Offered_IN_BWP_QUOTA
OPEN,,No,57,0,853,0,"Not Offered"
OPEN,,No,57,0,772,0,"Not Offered"
OPEN,,No,68,0,809,0,Offered_IN_OPEN_QUOTA
