Domicile,Hafiz-e-Quran,NTS,ECAT-MCAT,FA-FSC,BA-BSC,Offered,Offered-Text
Bahawalpur,No,62,0,724,524,2,Offered_IN_OPEN_QUOTA
Bahawalpur,No,49,0,558,480,1,Not Offered
Bahawalpur,No,68,0,554,502,2,Offered_IN_OPEN_QUOTA
Bahawalpur,No,55,0,554,528,2,Offered_IN_OPEN_QUOTA
OPEN,No,27,0,612,568,1,Not Offered
Bahawalpur,No,47,0,461,469,1,Not Offered
OPEN,No,53,0,533,507,1,Not Offered
OPEN,No,66,0,669,468,1,Not Offered
OPEN,No,61,0,631,542,2,Offered_IN_OPEN_QUOTA
OPEN,No,58,0,753,494,1,Not Offered
OPEN,No,57,0,781,509,1,Not Offered
OPEN,No,60,0,586,504,1,Not Offered
OPEN,No,53,0,599,519,2,Offered_IN_OPEN_QUOTA
OPEN,No,41,0,512,459,1,Not Offered
Bahawalpur,No,53,0,845,509,3,Offered_IN_BWP_QUOTA
OPEN,No,57,0,612,502,1,Not Offered
