Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,Offered
Bahawalpur,,No,52,0,631,0,"Not Offered"
Bahawalpur,,No,50,0,650,0,"Not Offered"
Bahawalpur,,No,78,0,876,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,764,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,62,0,738,0,"Not Offered"
Bahawalpur,,No,46,0,764,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,67,26,647,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,59,0,817,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,57,0,552,0,"Not Offered"
Bahawalpur,,No,49,0,683,0,"Not Offered"
Bahawalpur,,No,73,73,913,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,55,0,711,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,687,0,"Not Offered"
Bahawalpur,,No,48,0,675,0,"Not Offered"
Bahawalpur,,No,43,0,733,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,652,0,"Not Offered"
Bahawalpur,,No,55,0,622,0,"Not Offered"
Bahawalpur,,No,50,0,780,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,730,0,Offered_IN_BWP_QUOTA
Bahawalpur,,Yes,52,0,635,0,"Not Offered"
Bahawalpur,,No,41,0,729,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,52,0,623,0,"Not Offered"
Bahawalpur,,No,47,0,638,0,"Not Offered"
Bahawalpur,,No,61,0,689,0,"Not Offered"
Bahawalpur,,No,52,0,754,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,63,0,703,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,48,0,755,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,52,0,662,0,"Not Offered"
Bahawalpur,,No,51,0,773,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,60,0,672,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,58,0,918,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,49,0,745,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,61,0,644,0,"Not Offered"
Bahawalpur,,No,41,0,657,0,"Not Offered"
Bahawalpur,,No,51,0,709,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,42,0,755,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,752,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,47,0,726,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,855,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,57,0,637,0,"Not Offered"
Bahawalpur,,No,50,0,647,0,"Not Offered"
Bahawalpur,,No,56,0,780,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,54,0,660,0,"Not Offered"
OPEN,,No,48,0,861,0,Offered_IN_OPEN_QUOTA
OPEN,,No,41,0,781,0,Offered_IN_OPEN_QUOTA
OPEN,,No,48,0,780,0,Offered_IN_OPEN_QUOTA
OPEN,,No,38,0,839,0,"Not Offered"
Bahawalpur,,No,57,0,633,0,"Not Offered"
OPEN,,No,45,0,808,0,Offered_IN_OPEN_QUOTA
OPEN,,No,58,0,725,0,"Not Offered"
Bahawalpur,,No,55,0,627,0,"Not Offered"
OPEN,,No,73,73,784,0,"Not Offered"
Bahawalpur,,No,49,0,799,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,47,0,685,0,"Not Offered"
OPEN,,No,50,0,746,0,Offered_IN_OPEN_QUOTA
OPEN,,No,64,0,942,0,Offered_IN_OPEN_QUOTA
OPEN,,No,54,0,916,0,Offered_IN_OPEN_QUOTA
OPEN,,No,49,0,815,0,Offered_IN_OPEN_QUOTA
OPEN,,Yes,47,0,591,0,"Not Offered"
OPEN,,No,45,0,601,0,"Not Offered"
OPEN,,No,48,0,867,0,Offered_IN_OPEN_QUOTA
OPEN,,No,60,60,917,0,Offered_IN_OPEN_QUOTA
OPEN,,No,53,0,768,0,Offered_IN_OPEN_QUOTA
OPEN,,No,47,0,775,0,"Not Offered"
OPEN,,No,66,0,888,0,"Not Offered"
OPEN,,No,50,0,796,0,Offered_IN_OPEN_QUOTA
OPEN,,Yes,52,0,708,0,"Not Offered"
OPEN,,No,81,81,974,0,Offered_IN_OPEN_QUOTA
OPEN,,No,59,0,812,0,Offered_IN_OPEN_QUOTA
OPEN,,No,52,0,892,0,Offered_IN_OPEN_QUOTA
OPEN,,No,43,0,702,0,"Not Offered"
OPEN,,No,52,0,748,0,Offered_IN_OPEN_QUOTA
OPEN,,No,54,0,754,0,Offered_IN_OPEN_QUOTA
OPEN,,No,55,0,891,0,Offered_IN_OPEN_QUOTA
OPEN,,No,58,0,773,0,Offered_IN_OPEN_QUOTA
OPEN,,No,40,0,841,0,Offered_IN_OPEN_QUOTA
OPEN,,No,70,0,756,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,44,23,801,0,"Not Offered"
