Domicile,Hafiz e Quran,NTS,FA/FSC,Offered
BWP,No,55,800,Offered
BWP,No,60,911,Offered
BWP,No,49,587,Not Offered
BWP,No,62,771,Offered
BWP,No,57,635,Not Offered
BWP,No,59,864,Offered
BWP,No,57,695,Offered
BWP,No,61,691,Offered
BWP,No,54,727,Offered
BWP,No,48,855,Offered
BWP,No,63,682,Offered
BWP,No,56,776,Offered
BWP,No,50,805,Not Offered
BWP,No,50,650,Not Offered
BWP,No,46,633,Not Offered
BWP,No,56,764,Offered
BWP,No,48,807,Offered
BWP,Yes,62,707,Offered
BWP,No,52,714,Offered
BWP,No,50,622,Not Offered
BWP,Yes,50,532,Not Offered
BWP,No,52,631,Not Offered
BWP,No,50,650,Not Offered
BWP,No,78,876,Offered
BWP,No,50,764,Offered
BWP,No,62,738,Not Offered
BWP,No,46,764,Offered
BWP,No,67,647,Offered
BWP,No,59,817,Offered
BWP,No,57,552,Not Offered
BWP,No,49,683,Not Offered
BWP,No,73,913,Offered
BWP,No,55,711,Offered
BWP,No,50,687,Not Offered
BWP,No,48,675,Not Offered
BWP,No,43,733,Offered
BWP,No,50,652,Not Offered
BWP,No,55,622,Not Offered
BWP,No,50,780,Offered
BWP,No,50,730,Offered
BWP,Yes,52,635,Not Offered
BWP,No,41,729,Offered
BWP,No,52,623,Not Offered
BWP,No,47,638,Not Offered
BWP,No,61,689,Not Offered
BWP,No,52,754,Offered
BWP,No,63,703,Offered
BWP,No,48,755,Offered
BWP,No,52,662,Not Offered
BWP,No,51,773,Offered
BWP,No,60,672,Offered
BWP,No,58,918,Offered
BWP,No,49,745,Offered
BWP,No,61,644,Not Offered
BWP,No,41,657,Not Offered
BWP,No,51,709,Offered
BWP,No,42,755,Offered
BWP,No,50,752,Offered
BWP,No,47,726,Offered
BWP,No,50,855,Offered
BWP,No,57,637,Not Offered
BWP,No,50,647,Not Offered
BWP,No,56,780,Offered
BWP,No,54,660,Not Offered
OPEN,No,48,861,Offered
OPEN,No,41,781,Offered
OPEN,No,48,780,Offered
OPEN,No,38,839,Not Offered
BWP,No,57,633,Not Offered
OPEN,No,45,808,Offered
OPEN,No,58,725,Not Offered
BWP,No,55,627,Not Offered
OPEN,No,73,784,Not Offered
BWP,No,49,799,Offered
BWP,No,47,685,Not Offered
OPEN,No,50,746,Offered
OPEN,No,64,942,Offered
OPEN,No,54,916,Offered
OPEN,No,49,815,Offered
OPEN,Yes,47,591,Not Offered
OPEN,No,45,601,Not Offered
OPEN,No,48,867,Offered
OPEN,No,60,917,Offered
OPEN,No,53,768,Offered
OPEN,No,47,775,Not Offered
OPEN,No,66,888,Not Offered
OPEN,No,50,796,Offered
OPEN,Yes,52,708,Not Offered
OPEN,No,81,974,Offered
OPEN,No,59,812,Offered
OPEN,No,52,892,Offered
OPEN,No,43,702,Not Offered
OPEN,No,52,748,Offered
OPEN,No,54,754,Offered
OPEN,No,55,891,Offered
OPEN,No,58,773,Offered
OPEN,No,40,841,Offered
OPEN,No,70,756,Offered
BWP,No,44,801,Not Offered
OPEN,No,57,751,Offered
OPEN,No,43,558,Not Offered
OPEN,No,50,755,Offered
OPEN,No,57,763,Offered
BWP,No,53,664,Not Offered
OPEN,No,40,765,Not Offered
OPEN,Yes,53,738,Offered
OPEN,No,57,772,Offered
OPEN,No,41,829,Offered
OPEN,No,50,855,Not Offered
OPEN,No,68,762,Offered
OPEN,No,0,582,Not Offered
