Domicile,Hafiz e Quran,NTS,FA/FSC,Offered
OPEN,No,44,840,Offered
BWP,No,50,720,Not Offered
BWP,No,38,757,Not Offered
BWP,No,50,763,Not Offered
BWP,No,58,729,Offered
BWP,No,52,622,Not Offered
BWP,No,52,718,Offered
BWP,No,50,701,Offered
BWP,No,49,606,Not Offered
BWP,No,56,648,Not Offered
BWP,No,52,701,Offered
BWP,Yes,50,671,Offered
BWP,No,65,692,Offered
BWP,No,50,711,Not Offered
BWP,No,50,752,Offered
BWP,No,51,718,Not Offered
BWP,Yes,56,877,Offered
BWP,No,55,616,Not Offered
BWP,No,56,703,Not Offered
BWP,No,59,722,Offered
BWP,No,54,634,Not Offered
BWP,No,55,732,Offered
BWP,No,54,661,Not Offered
BWP,No,46,647,Not Offered
BWP,No,57,702,Offered
BWP,No,57,714,Offered
BWP,No,59,770,Not Offered
BWP,No,61,624,Not Offered
BWP,No,56,668,Not Offered
BWP,No,44,825,Offered
BWP,No,61,666,Offered
BWP,No,55,713,Offered
BWP,No,79,974,Offered
BWP,No,53,666,Not Offered
BWP,No,54,733,Offered
BWP,No,62,828,Offered
BWP,No,58,760,Offered
BWP,No,47,722,Offered
OPEN,Yes,73,935,Offered
BWP,No,39,827,Not Offered
BWP,Yes,61,684,Not Offered
BWP,No,44,653,Not Offered
BWP,No,38,802,Not Offered
BWP,No,40,907,Offered
BWP,No,55,675,Offered
BWP,No,47,644,Not Offered
BWP,No,48,817,Not Offered
BWP,No,62,791,Offered
BWP,No,48,671,Not Offered
BWP,No,52,671,Not Offered
BWP,No,48,668,Not Offered
BWP,No,45,664,Not Offered
BWP,No,41,730,Offered
BWP,No,54,667,Not Offered
BWP,No,40,754,Offered
BWP,No,47,608,Not Offered
BWP,No,51,682,Not Offered
BWP,No,54,652,Not Offered
BWP,No,52,710,Offered
BWP,No,83,958,Offered
BWP,No,60,694,Offered
BWP,No,64,660,Offered
BWP,No,49,680,Not Offered
BWP,No,49,595,Not Offered
BWP,No,70,898,Offered
BWP,No,47,661,Not Offered
BWP,No,58,891,Offered
BWP,No,51,744,Offered
BWP,No,54,741,Offered
BWP,No,63,707,Offered
BWP,No,59,727,Offered
BWP,No,76,617,Not Offered
BWP,No,54,750,Offered
BWP,No,60,670,Offered
BWP,No,60,808,Offered
BWP,No,56,817,Offered
