Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,"English Marks",Offered
Bahawalpur,,No,55,0,635,0,0,"Not Offered"
Bahawalpur,,No,50,0,662,0,0,"Not Offered"
Bahawalpur,,Yes,57,0,719,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,53,0,660,0,0,"Not Offered"
Bahawalpur,,No,76,0,617,0,0,"Not Offered"
Bahawalpur,,No,66,0,662,0,0,"Not Offered"
OPEN,,No,40,0,828,0,0,Offered_IN_OPEN_QUOTA
OPEN,,No,50,0,697,0,0,"Not Offered"
Bahawalpur,,No,51,0,703,0,0,"Not Offered"
Bahawalpur,,No,47,0,657,0,0,"Not Offered"
OPEN,,No,54,0,688,0,0,"Not Offered"
Bahawalpur,,No,47,0,642,0,0,"Not Offered"
Bahawalpur,,No,55,0,836,0,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,47,0,597,0,0,"Not Offered"
Bahawalpur,,No,41,0,718,0,0,"Not Offered"
OPEN,,No,35,35,903,0,0,"Not Offered"
Bahawalpur,,No,52,0,710,0,0,"Not Offered"
Bahawalpur,,No,54,0,604,0,0,"Not Offered"
Bahawalpur,,No,52,0,770,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,49,0,680,0,0,"Not Offered"
Bahawalpur,,No,43,15,789,0,0,Offered_IN_BWP_QUOTA
OPEN,,No,49,0,739,0,0,"Not Offered"
Bahawalpur,,No,51,0,759,0,0,"Not Offered"
Bahawalpur,,No,50,0,650,0,0,"Not Offered"
OPEN,,No,41,0,630,0,0,"Not Offered"
OPEN,,No,43,0,756,0,0,"Not Offered"
OPEN,,No,0,0,854,0,0,"Not Offered"
Bahawalpur,,No,64,0,803,0,0,Offered_IN_BWP_QUOTA
OPEN,,No,32,0,630,0,0,"Not Offered"
OPEN,,No,53,0,719,0,0,"Not Offered"
OPEN,,No,71,0,804,0,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,Yes,54,0,698,0,0,"Not Offered"
Bahawalpur,,No,47,0,567,0,0,"Not Offered"
Bahawalpur,,No,50,0,673,0,0,"Not Offered"
OPEN,,No,0,0,763,0,0,"Not Offered"
Bahawalpur,,No,53,0,664,0,0,"Not Offered"
Bahawalpur,,No,49,0,797,0,0,"Not Offered"
Bahawalpur,,No,52,0,673,0,0,"Not Offered"
Bahawalpur,,No,50,0,724,0,0,"Not Offered"
Bahawalpur,,Yes,47,0,614,0,0,"Not Offered"
Bahawalpur,,No,54,0,652,0,0,"Not Offered"
Bahawalpur,,No,64,0,660,0,0,"Not Offered"
Bahawalpur,,No,45,0,562,0,0,"Not Offered"
Bahawalpur,,No,63,0,781,0,0,Offered_IN_BWP_QUOTA
OPEN,,No,58,0,751,0,0,"Not Offered"
Bahawalpur,,No,48,0,697,0,0,"Not Offered"
